id,client_name,software,vendor,contract_start,contract_expiry,contract_value,last_contact,account_manager
35,Stantec,Fortinet FortiGate,Fortinet,2025-09-07,2026-09-07,10000,2025-11-22,Elena Vasquez
36,AECOM Canada,HP Aruba Network,HP,2024-01-12,2025-01-11,75000,2025-12-03,Elena Vasquez
37,PCL Construction,Cisco Webex,Cisco,2025-04-02,2026-04-02,25000,2026-01-08,Priya Sharma
38,EllisDon,Commvault Disaster Recovery,Commvault,2024-02-22,2025-02-21,5000,2026-01-18,Priya Sharma
39,Deloitte Canada,Kaspersky EDR,Kaspersky,2025-07-19,2027-07-19,5000,2025-11-23,David Thompson
40,KPMG Canada,IBM Security QRadar,IBM,2024-07-15,2025-07-15,10000,2025-12-07,Sarah Mitchell
41,PwC Canada,Oracle Cloud ERP,Oracle,2025-04-05,2026-04-05,15000,2026-03-16,James Okafor
42,EY Canada,IBM Security QRadar,IBM,2024-11-06,2025-11-06,50000,2026-01-27,Priya Sharma
43,MNP,Commvault Disaster Recovery,Commvault,2024-05-13,2026-05-13,30000,2026-01-06,James Okafor
44,Intact Financial,Cisco Webex,Cisco,2025-03-08,2026-03-08,10000,2026-01-18,Sarah Mitchell
45,Fairfax Financial,Adobe Acrobat Enterprise,Adobe,2024-10-21,2026-10-21,100000,2026-01-07,David Thompson
46,Definity Financial,Oracle Database License,Oracle,2023-04-08,2025-04-07,30000,2026-02-03,Elena Vasquez
47,Aviva Canada,Fortinet FortiGate,Fortinet,2023-06-08,2025-06-07,50000,2026-02-13,James Okafor
48,RSA Canada,Lenovo ThinkSystem,Lenovo,2025-05-22,2027-05-22,10000,2026-03-20,Elena Vasquez
49,Graham Construction,HP Aruba Network,HP,2024-03-14,2025-03-14,30000,2026-03-15,David Thompson
50,Brookfield Asset Management,Kaspersky Endpoint Security,Kaspersky,2023-10-19,2025-10-18,100000,2026-01-18,James Okafor
