id,client_name,software,vendor,contract_start,contract_expiry,contract_value,last_contact,account_manager
19,Hydro One,Oracle Database License,Oracle,2027-05-02,2028-05-01,30000,2026-02-03,Elena Vasquez
20,Ontario Power Generation,Fortinet FortiGate,Fortinet,2024-06-02,2026-06-02,30000,2026-04-25,Priya Sharma
21,Toronto Hydro,Commvault Disaster Recovery,Commvault,2026-05-09,2027-05-09,25000,2026-03-09,James Okafor
22,Metrolinx,Dell PowerEdge Server,Dell,2026-03-09,2028-03-08,15000,2026-05-04,Marcus Chen
23,City of Toronto,Lenovo Data Center,Lenovo,2025-04-25,2026-04-25,150000,2026-03-28,Elena Vasquez
24,Government of Ontario,Dell EMC Storage,Dell,2025-09-13,2026-09-13,5000,2026-05-08,David Thompson
25,Canada Post,HP ProLiant Server,HP,2024-07-09,2026-07-09,20000,2026-05-04,Sarah Mitchell
26,Via Rail,Fortinet FortiAnalyzer,Fortinet,2024-07-13,2026-07-13,50000,2026-03-27,James Okafor
27,Maple Leaf Foods,Kaspersky Endpoint Security,Kaspersky,2024-05-12,2026-05-12,10000,2026-03-13,Priya Sharma
28,George Weston,IBM Security QRadar,IBM,2025-07-14,2026-07-14,100000,2026-01-28,Priya Sharma
29,Empire Company,Kaspersky Endpoint Security,Kaspersky,2024-08-06,2026-08-06,150000,2026-03-01,Elena Vasquez
30,Saputo Inc,HP Aruba Network,HP,2025-02-20,2027-02-20,15000,2026-03-30,Elena Vasquez
31,Bombardier,Cisco Firewall License,Cisco,2025-04-19,2027-04-19,100000,2026-03-19,David Thompson
32,CAE Inc,Oracle Cloud ERP,Oracle,2024-02-12,2026-02-11,15000,2026-01-31,Marcus Chen
33,SNC-Lavalin,Adobe Creative Cloud,Adobe,2025-06-29,2026-06-29,30000,2026-05-05,Sarah Mitchell
34,WSP Global,Cisco Firewall License,Cisco,2025-06-18,2026-06-18,30000,2026-03-22,Marcus Chen
35,Stantec,Fortinet FortiGate,Fortinet,2025-04-27,2026-04-27,10000,2026-04-18,Elena Vasquez
36,AECOM Canada,HP Aruba Network,HP,2024-12-21,2026-12-21,75000,2026-05-09,Elena Vasquez
37,PCL Construction,Cisco Webex,Cisco,2024-01-21,2026-01-20,25000,2026-03-03,Priya Sharma
38,EllisDon,Commvault Disaster Recovery,Commvault,2024-06-14,2026-06-14,5000,2026-03-28,Priya Sharma
39,Deloitte Canada,Kaspersky EDR,Kaspersky,2026-08-21,2027-08-21,5000,2026-04-18,David Thompson
40,KPMG Canada,IBM Security QRadar,IBM,2025-05-15,2027-05-15,10000,2026-04-16,Sarah Mitchell
41,PwC Canada,Oracle Cloud ERP,Oracle,2024-05-11,2026-05-11,15000,2026-04-21,James Okafor
42,EY Canada,IBM Security QRadar,IBM,2024-11-08,2026-11-08,50000,2026-05-16,Priya Sharma
43,MNP,Commvault Disaster Recovery,Commvault,2024-12-30,2026-12-30,30000,2026-05-18,James Okafor
44,Intact Financial,Cisco Webex,Cisco,2024-01-28,2026-01-27,10000,2026-03-23,Sarah Mitchell
45,Fairfax Financial,Adobe Acrobat Enterprise,Adobe,2026-08-14,2027-08-14,100000,2026-05-12,David Thompson
46,Definity Financial,Oracle Database License,Oracle,2024-09-24,2026-09-24,30000,2026-03-15,Elena Vasquez
47,Aviva Canada,Fortinet FortiGate,Fortinet,2025-06-18,2026-06-18,50000,2026-05-11,James Okafor
48,RSA Canada,Lenovo ThinkSystem,Lenovo,2025-06-25,2026-06-25,10000,2026-04-07,Elena Vasquez
49,Graham Construction,HP Aruba Network,HP,2024-09-15,2026-09-15,30000,2026-03-29,David Thompson
50,Brookfield Asset Management,Kaspersky Endpoint Security,Kaspersky,2024-05-23,2026-05-23,100000,2026-05-01,James Okafor
